value,msa,gender,age,race
158499,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,65-74,BLACK OR AFRICAN AMERICAN ALONE
215984,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,45-54,BLACK OR AFRICAN AMERICAN ALONE
230936,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,55-64,BLACK OR AFRICAN AMERICAN ALONE
123755,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,30-34,BLACK OR AFRICAN AMERICAN ALONE
215677,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,35-44,BLACK OR AFRICAN AMERICAN ALONE
36713,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,18 and 19,BLACK OR AFRICAN AMERICAN ALONE
104816,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,20-24,BLACK OR AFRICAN AMERICAN ALONE
120514,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,25-29,BLACK OR AFRICAN AMERICAN ALONE
98325,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,10-14,BLACK OR AFRICAN AMERICAN ALONE
56603,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,15-17,BLACK OR AFRICAN AMERICAN ALONE
87367,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,5-9,BLACK OR AFRICAN AMERICAN ALONE
1658245,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,,BLACK OR AFRICAN AMERICAN ALONE
84846,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Under 5,BLACK OR AFRICAN AMERICAN ALONE
50897,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,75-84,BLACK OR AFRICAN AMERICAN ALONE
13438,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,85 and over,BLACK OR AFRICAN AMERICAN ALONE
188972,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,55-64,BLACK OR AFRICAN AMERICAN ALONE
113196,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,65-74,BLACK OR AFRICAN AMERICAN ALONE
119664,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,30-34,BLACK OR AFRICAN AMERICAN ALONE
189578,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,35-44,BLACK OR AFRICAN AMERICAN ALONE
178189,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,45-54,BLACK OR AFRICAN AMERICAN ALONE
85616,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,75-84,BLACK OR AFRICAN AMERICAN ALONE
38594,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,85 and over,BLACK OR AFRICAN AMERICAN ALONE
32382,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,18 and 19,TWO OR MORE RACES
