population,msa,gender,edu,race
695238,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Regular high school diploma,WHITE ALONE
56406,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,GED or alternative credential,WHITE ALONE
435439,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"Some college, no degree",WHITE ALONE
252020,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Associate's degree,WHITE ALONE
998956,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree,WHITE ALONE
877030,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Graduate or professional degree,WHITE ALONE
762999,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Graduate or professional degree,WHITE ALONE
3480887,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,,WHITE ALONE
79732,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than 9th grade,WHITE ALONE
86066,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"9th to 12th grade, no diploma",WHITE ALONE
3271197,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,,WHITE ALONE
79556,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than 9th grade,WHITE ALONE
104248,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"9th to 12th grade, no diploma",WHITE ALONE
574155,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Regular high school diploma,WHITE ALONE
87470,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,GED or alternative credential,WHITE ALONE
470430,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"Some college, no degree",WHITE ALONE
197807,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Associate's degree,WHITE ALONE
994532,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree,WHITE ALONE
6752084,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,WHITE ALONE
110715,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Some college or associate's degree,ASIAN ALONE
496917,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree or higher,ASIAN ALONE
148115,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than high school diploma,ASIAN ALONE
